Front;Back;Tag
提升可用性的策略包括哪三大类？具体有哪些技术？;错误检测（心跳、Ping/Echo、异常）；错误恢复（表决、主动冗余、被动冗余、重新同步、内测、检查点/回滚）；错误避免（服务下线、事务、进程监控器）。;10.1 软件系统质量属性
提升性能的策略包括哪三大类？具体有哪些技术？;资源需求（减少资源占用、减少处理事件数量、控制资源使用）；资源管理（并发机制、增加资源）；资源仲裁（先来先服务、固定优先级、动态优先级、静态调度）。;10.1 软件系统质量属性
提升可修改性的策略包括哪三大类？具体有哪些技术？;局部化修改（高内聚低耦合、预测变更、使模块通用）；防止连锁反应（信息隐藏、维持现有接口、限制通信路径、使用中介）；推迟绑定时间（运行时注册、多态、配置文件）。;10.1 软件系统质量属性
提升安全性的策略包括哪三大类？具体有哪些技术？;抵抗攻击（用户身份验证、用户授权、维护数据机密性与完整性、限制暴露、限制访问）；检测攻击（入侵检测系统）；从攻击中恢复（恢复状态、识别攻击者）。;10.1 软件系统质量属性
质量属性场景由哪六个要素组成？;刺激源、刺激、环境、制品、响应、响应度量。;10.1 软件系统质量属性
质量属性场景六要素中，刺激源（Source）指什么？;某个生成该刺激的实体（人、计算机系统或者任何其他刺激器）。;10.1 软件系统质量属性
质量属性场景六要素中，刺激（Stimulus）指什么？;当刺激到达系统时需要考虑的条件。;10.1 软件系统质量属性
质量属性场景六要素中，环境（Environment）指什么？;该刺激在某些条件下发生，如系统处于过载、运行或其他情况。;10.1 软件系统质量属性
质量属性场景六要素中，制品（Artifact）指什么？;被激励的某个制品，可能是整个系统或系统的一部分。;10.1 软件系统质量属性
质量属性场景六要素中，响应（Response）指什么？;在激励到达后所采取的行动。;10.1 软件系统质量属性
质量属性场景六要素中，响应度量（Measurement）指什么？;当响应发生时，对其进行度量以测试需求的方式。;10.1 软件系统质量属性
系统架构评估通常分为哪三种方法类型？;基于调查问卷或检查表的方法、基于场景的评估方法、基于度量的评估方法。;10.2 系统架构评估
基于调查问卷或检查表的评估方法主要缺点是什么？;很大程度上依赖于评估人员的主观判断。;10.2 系统架构评估
基于场景的评估方法主要应用在哪些架构评估方法中？;架构权衡分析法（ATAM）和软件架构分析方法（SAAM）。;10.2 系统架构评估
什么是系统架构评估中的敏感点？;实现质量目标时应注意的点，是一个或多个构件的特性。;10.2 系统架构评估
什么是系统架构评估中的权衡点？;影响多个质量属性的敏感点。;10.2 系统架构评估
什么是系统架构评估中的风险承担者或利益相关人？;影响体系结构或被体系结构影响的群体。;10.2 系统架构评估
在系统架构评估中，场景由哪三方面来描述？;触发机制（刺激）、环境和影响。;10.2 系统架构评估
软件架构分析方法（SAAM）是由谁在何时提出的？;卡耐基梅隆大学软件工程研究所的Kazman等人于1983年提出。;10.2 系统架构评估
SAAM的主要输入是什么？;问题描述、需求说明和架构描述。;10.2 系统架构评估
SAAM的分析过程包括哪五个步骤？;场景开发、架构描述、单个场景评估、场景交互和总体评估。;10.2 系统架构评估
架构权衡分析法（ATAM）主要针对哪些质量属性进行评价和折中？;性能、可用性、安全性和可修改性。;10.2 系统架构评估
传统的ATAM分为哪四个主要活动阶段？;需求收集、架构视图描述、属性模型构造和分析、架构决策与折中。;10.2 系统架构评估
现代的ATAM方法采用什么来对质量属性进行分类和优先级排序？;效用树。;10.2 系统架构评估
用ATAM方法评估软件体系结构分为哪四个阶段？;演示、调查和分析、测试、报告。;10.2 系统架构评估
ATAM评估第一阶段“演示”包含哪三个步骤？;介绍ATAM、介绍业务驱动因素、介绍要评估的体系结构。;10.2 系统架构评估
ATAM评估第二阶段“调查和分析”包含哪三个步骤？;确定架构方法、生成质量属性效用树、分析体系结构方法。;10.2 系统架构评估
在ATAM分析体系结构方法的步骤中，需要找出哪五类结果？;风险、非风险、敏感点和权衡点。;10.2 系统架构评估
ATAM与SAAM在特定目标上有何区别？;SAAM：通过程序文档验证体系结构，注重发现潜在问题，可用于评价单系统或进行多系统比较；ATAM：确定在多个质量属性之间折中的必要性。;10.2 系统架构评估
ATAM与SAAM在评估技术上有什么区别？;SAAM使用场景技术；ATAM使用场景技术和启发式分析方法。;10.2 系统架构评估
ATAM与SAAM在质量属性侧重点上有什么区别？;SAAM可修改性是主要分析内容；ATAM分析性能、可用性、安全性和可修改性。;10.2 系统架构评估
ATAM与SAAM在风险承担者（利益相关人）上有什么区别？;SAAM是所有参与者；ATAM是场景和需求收集过程中的相关人。;10.2 系统架构评估
ATAM与SAAM在方法活动上有什么区别？;SAAM：场景开发、体系结构描述、单个场景评估、场景交互和总体评估；ATAM：场景和需求收集、体系结构视图和场景实现、属性模型构造和分析、折中。;10.2 系统架构评估
成本效益分析法（CBAM）的评估步骤顺序是什么？;整理场景 → 对场景进行求精 → 确定场景的优先级 → 分配效用 → 架构策略涉及哪些质量属性及响应级别 → 使用内插法确定“期望的”质量属性响应级别的效用 → 计算各架构策略的总收益 → 根据受成本限制影响的ROI选择架构策略。;10.2 系统架构评估
SAEM评估方法的核心思想是什么？;将软件架构看作一个最终产品以及开发过程中的一个中间产品，从外部质量属性和内部质量属性进行阐述的评估模型。;10.2 系统架构评估
SAABNet方法的主要作用是什么？;辅助架构的定性评估，帮助诊断软件问题的可能原因，分析架构中的修改给质量属性带来的影响、预测架构的质量属性，帮助架构设计人员做决策。;10.2 系统架构评估
SAABNet方法度量的对象包括哪三类？;架构属性、质量准则和质量因素。;10.2 系统架构评估
SACMM方法是什么？;一种软件架构修改的度量方法，首先基于内核定义差异度量准则来计算两个软件架构之间的距离，然后分析对象之间的相似性。;10.2 系统架构评估
SASAM方法如何评估软件架构？;通过对预期架构和实际架构进行映射和比较来静态地评估软件架构。;10.2 系统架构评估
ALRRA方法是什么？;软件架构可靠性风险评估方法，使用动态复杂度准则和动态耦合度准则来定义组件和连接件的复杂性因素。;10.2 系统架构评估
AHP方法的特点是什么？;把定性分析和定量计算相结合，对各种决策因素进行处理。;10.2 系统架构评估
COSMIC+UML方法的作用是什么？;针对不同表达方式的软件架构，采用统一的软件度量COSMIC方法来进行度量和评估。;10.2 系统架构评估
