Front;Back;Tag
SOA服务质量（QoS）中的“管理”有什么要求？;针对运行在多种环境下的所有服务，必须有一个统一管理系统。任何根据WSDM实现的服务都可以由WSDM适应的管理方案来管理。;18.5 SOA设计的标准要求
SOA的主要作用是什么？;打破信息孤岛，把应用和资源转换成服务，以及把这些服务变成标准的服务，形成资源的共享。;18.6 SOA的作用与设计原则
SOA设计原则中的“无状态”指什么？;避免服务请求者依赖于服务提供者的状态。;18.6 SOA的作用与设计原则
SOA设计原则中的“单一实例”指什么？;以高内聚的实现方法，避免功能冗余。;18.6 SOA的作用与设计原则
SOA设计原则中的“明确定义的接口”由什么定义？其作用是什么？;由WSDL定义，用于指明服务的公共接口与其内部专用实现之间的界线。;18.6 SOA的作用与设计原则
SOA设计原则中的“自包含和模块化”指什么？;服务封装了业务上稳定、重复出现的活动和组件，实现功能实体完全独立自主，独立进行部署、版本控制、自我管理和恢复。;18.6 SOA的作用与设计原则
SOA设计原则中的“粗粒度”指什么？;服务数量不应太大，依靠消息交互而不是RPC，消息量较大但服务间交互频度较低。;18.6 SOA的作用与设计原则
SOA设计原则中的“服务之间的松耦合性”具体表现是什么？;服务使用者看到的是接口，其位置、实现技术和当前状态对使用者不可见，服务私有数据对使用者不可见。;18.6 SOA的作用与设计原则
SOA设计原则中的“重用能力”指什么？;服务应该是可以复用的。;18.6 SOA的作用与设计原则
SOA设计原则中的“互操作性、兼容和策略声明”如何实现？;利用策略定义可配置的互操作语义，描述特定服务的期望、控制其行为。利用策略声明确保服务期望和语义兼容性方面的完整和明确。;18.6 SOA的作用与设计原则
服务注册表模式包含哪三个基本操作？;服务注册、服务位置、服务绑定。;18.7 SOA的设计模式
服务注册表模式中，“服务注册”指什么？;应用开发者（服务提供者）向注册表公布它们的功能。;18.7 SOA的设计模式
服务注册表模式中，“服务位置”指什么？;服务应用开发者查询注册服务，寻找符合自身要求的服务。;18.7 SOA的设计模式
服务注册表模式中，“服务绑定”指什么？;服务消费者利用检索到的服务合同开发代码，与注册的服务绑定、调用并与它们互动。;18.7 SOA的设计模式
企业服务总线（ESB）模式的核心功能有哪些？（至少列出6点）;1.提供位置透明性的消息路由和寻址服务；2.提供服务注册和命名管理；3.支持多种消息传递范型；4.支持多种传输协议；5.支持多种数据格式及其转换；6.提供日志和监控功能。;18.7 SOA的设计模式
微服务模式的特点有哪些？（至少列出4点）;1.复杂应用解耦；2.独立开发、测试及部署；3.技术选型灵活；4.容错（故障隔离）；5.松耦合，易扩展。;18.7 SOA的设计模式
聚合器微服务模式的作用是什么？;聚合器充当流程指挥者，调用多个微服务实现系统应用程序所需功能。;18.7 SOA的设计模式
链式微服务模式的工作方式是什么？;客户端或服务收到请求后，发生多个服务间的嵌套递归调用，返回经过合并处理的响应。;18.7 SOA的设计模式
数据共享微服务模式的适用场景是什么？;适用于单体架构向微服务架构过渡阶段，服务之间允许存在强耦合关系，例如多个微服务共享缓存与数据库存储。;18.7 SOA的设计模式
异步消息传递微服务模式的作用是什么？;对于不必要以同步方式运行的业务逻辑，使用消息队列代替REST实现请求/响应，加快服务调用响应速度。;18.7 SOA的设计模式
微服务架构面临的主要问题与挑战有哪些？;1.服务发现与服务调用链跟踪变得困难；2.很难实现传统数据库的强一致性，转而追求最终一致性。;18.7 SOA的设计模式
构建SOA架构时，原有系统架构中的集成需求包括哪些？;应用程序集成的需求、终端用户界面集成的需求、流程集成的需求以及已有系统信息集成的需求。;18.8 构建SOA架构时应该注意的问题
SOA架构中，服务粒度应如何控制？;对于暴露在整个系统外部的服务推荐使用粗粒度的接口，相对较细粒度的服务接口通常用于企业系统架构的内部。;18.8 构建SOA架构时应该注意的问题
SOA架构中为什么要求服务是无状态的？;具体服务应该是独立的、自包含的请求，不需要前一个请求的状态，服务不应该依赖于其他服务的上下文和状态。;18.8 构建SOA架构时应该注意的问题
选择SOA解决方案时应从哪三个方面进行？;1.尽量选择能进行全局规划的方案；2.充分考虑企业自身的需求；3.从平台、实施等技术方面进行考察。;18.9 SOA实施的过程
SOA业务流程分析中，建立服务模型的方法有哪些？;自顶向下分解法、业务目标分析法、自底向上分析法。;18.9 SOA实施的过程
SOA业务流程分析中，建立业务流程包括哪些内容？;建立业务对象（实体、过程、事件等）、建立服务接口、建立服务流程。;18.9 SOA实施的过程
