Front;Back;Tag
嵌入式软件的“强实时性”和“高确定性”主要通过哪些设计方法实现？;强实时性：表驱动、配置、静/动态结合、汇编语言；高确定性：静态分配资源、越界检查、状态机、静态任务调度。;2.3 嵌入式软件的组成及特点
嵌入式软件的“安全性”和“可靠性”设计方法分别包括哪些？;安全性：编码标准、安全保障机制、FMECA；可靠性：容错技术、余度技术和鲁棒性设计。;2.3 嵌入式软件的组成及特点
嵌入式系统设计时，进行低功耗设计的主要技术有哪些？;主要技术有编译优化技术、软硬件协同设计、算法优化。;2.3 嵌入式软件的组成及特点
传统的嵌入式系统主要由哪些部件组成？;主要由嵌入式微处理器、存储器、总线逻辑、定时/计数器、看门狗电路、I/O 接口和外部设备等部件组成。;2.4 嵌入式系统硬件体系结构
微处理器（MPU）的主要特点是什么？;集成度低、可靠性高，通常需要专门设计的电路板。;2.4 嵌入式系统硬件体系结构
微控制器（MCU）又称为什么？其主要优点是什么？;又称单片机。优点是单片化、体积小、功耗和成本下降，可靠性提高。;2.4 嵌入式系统硬件体系结构
数字信号处理器（DSP）在结构上有什么特点？适合什么应用？;采用哈佛结构，对系统结构和指令进行了特殊设计，适合执行大量数据处理。;2.4 嵌入式系统硬件体系结构
图形处理器（GPU）相比 CPU 有什么优势？常用于什么领域？;大幅加强了浮点运算能力和多核并行计算能力，常用于 AI 技术的深度学习的数据运算。;2.4 嵌入式系统硬件体系结构
片上系统（SoC）的定义是什么？;由多个具有特定功能的集成电路组合在一个芯片上形成的系统或产品，包含完整的硬件系统（如处理器、IP 核、存储器）及其承载的嵌入式软件。;2.4 嵌入式系统硬件体系结构
动态随机存取存储器（DRAM）和静态随机存取存储器（SRAM）在存储原理和优缺点上有何区别？;DRAM 采用电容存储，集成度高、容量大、成本低，但速度慢、需刷新；SRAM 采用晶体管自锁，速度快、不需刷新，但集成度低、容量小、成本高。;2.4 嵌入式系统硬件体系结构
DRAM 和 SRAM 通常分别用作什么？;DRAM 常作主存，SRAM 常用作高速缓存。;2.4 嵌入式系统硬件体系结构
掩膜型只读存储器（MROM）的优缺点是什么？;优点是通过掩膜大批量制造、成本低；缺点是同批数据全部一致且不可修改，只适合大批量生产。;2.4 嵌入式系统硬件体系结构
可编程只读存储器（PROM）和可擦可编程只读存储器（EPROM）在数据擦写方式上有何不同？;PROM 只能用专用设备一次性烧录；EPROM 写入的数据可以通过紫外线擦除重写。;2.4 嵌入式系统硬件体系结构
电可擦可编程只读存储器（EEPROM）和快闪存储器（Flash Memory）的主要区别是什么？;EEPROM 通过电压清除数据但速度慢；Flash 可以联机擦写且次数多、速度快，但读取速度相对其他 ROM 较慢。;2.4 嵌入式系统硬件体系结构
数据总线、地址总线和控制总线分别用于传输什么信息？;数据总线传送处理或存储的数据；地址总线指定 RAM 中数据的地址；控制总线将微处理器控制信号传送到周边设备。;2.4 嵌入式系统硬件体系结构
片内总线、系统总线（板级总线）和通信总线分别连接什么部件？;片内总线连接芯片内部元件；系统总线连接计算机系统核心组件；通信总线连接主机和外设。;2.4 嵌入式系统硬件体系结构
半双工总线和全双工总线在数据传输方向上有何区别？;半双工总线只能轮流向两个方向传输；全双工总线可以同时在两个方向传输。;2.4 嵌入式系统硬件体系结构
并行总线和串行总线在传输距离和一致性要求上有何不同？;并行总线一致性要求高，传输距离较近；串行总线距离可以较远。;2.4 嵌入式系统硬件体系结构
看门狗电路的主要作用是什么？;是嵌入式系统必须具备的一种系统恢复能力，可防止程序出错或者死锁。;2.4 嵌入式系统硬件体系结构
看门狗电路主要由哪些部分构成？;主要由输入端、寄存器、计数器和狗叫模块构成。;2.4 嵌入式系统硬件体系结构
程序正常运行时和超时不“喂狗”时，看门狗电路分别会做什么？;正常运行时 MCU 会定期“喂狗”；超时不“喂狗”就会触发狗叫模块，一般是重启 MCU。;2.4 嵌入式系统硬件体系结构
IEEE 对安全攸关软件（Safety-Critical Software）的定义是什么？;IEEE 定义安全攸关软件是“用于一个系统中，可能导致不可接受的风险的软件”。;2.5 安全攸关软件的安全性设计
DO-178B 标准的主要目的是什么？;为制造机载系统和设备的机载软件提供指导，使其能够提供在满足符合适航要求的安全性水平下完成预期功能。;2.5 安全攸关软件的安全性设计
DO-178B 标准将软件生命周期分为哪三个主要过程？;分为“软件计划过程”、“软件开发过程”和“软件综合过程”。;2.5 安全攸关软件的安全性设计
DO-178B 标准中，“软件开发过程”细分为哪四个子过程？;细分为软件需求过程、软件设计过程、软件编码过程和集成过程。;2.5 安全攸关软件的安全性设计
DO-178B 标准中，“软件综合过程”细分为哪四个子过程？;细分为软件验证过程、软件配置管理过程、软件质量保证过程、审定联络过程。;2.5 安全攸关软件的安全性设计
DO-178B 标准将软件安全等级分为哪五级？;分为 A～E 五级。;2.5 安全攸关软件的安全性设计
DO-178B 标准中，A 级和 B 级软件分别对应什么风险等级？;A 级对应灾难级，B 级对应危害级。;2.5 安全攸关软件的安全性设计
DO-178B 标准中，C 级、D 级和 E 级软件分别对应什么风险等级？;C 级对应严重级，D 级对应不严重级，E 级对应没有影响级。;2.5 安全攸关软件的安全性设计
