Front;Back;Tag
安全中间件的主要作用是什么？;用中间件屏蔽操作系统的缺陷，提升安全等级。;1.3 计算机软件基础知识
软件构件（组件）的两个最重要特性是什么？;软件构件的两个最重要的特性是自包容与可重用。;1.3 计算机软件基础知识
利用软件构件进行开发有哪些优点？;优点包括易扩展、可重用、并行开发。;1.3 计算机软件基础知识
使用软件构件开发存在哪些缺点？;缺点包括需要经验丰富的设计师、快速开发与质量属性之间需要妥协、构件质量影响软件整体的质量。;1.3 计算机软件基础知识
OMG提出的商用构件标准规范是什么？其核心层次有哪些？;OMG的公共对象请求代理架构（CORBA），主要分为对象请求代理（ORB）、公共对象服务和公共设施3个层次。;1.3 计算机软件基础知识
SUN公司的J2EE标准中，EJB构件分为哪三种类型？;EJB中的构件称为Bean，可以分为会话 Bean、实体 Bean 和消息驱动 Bean。;1.3 计算机软件基础知识
Microsoft的DNA 2000标准采用了什么作为构件标准？;采用 DCOM/COM/COM+作为标准的构件。;1.3 计算机软件基础知识
计算机语言主要由哪三大部分内容组成？;计算机语言主要由表达式、流程控制和集合三大部分内容组成。;1.4 计算机语言
机器语言（第一代计算机语言）的指令格式由哪两部分组成？;指令格式由操作码和操作数两部分组成。;1.4 计算机语言
汇编语言的每条语句由哪四个字段组成？;每条语句均由名字、操作符、操作数和注释4个字段组成。;1.4 计算机语言
请列举常见的数据定义伪指令名称。;常见数据定义伪指令包括DB、DW、DD。;1.4 计算机语言
请列举常见的段定义和过程定义伪指令名称。;段定义伪指令为SEGMENT，过程定义伪指令为PROC。;1.4 计算机语言
UML建模语言的三个基本要素是什么？;UML由3个要素构成：基本构造块（事物）、图（规则）和公用机制。;1.4 计算机语言
UML中的“结构事物”主要描述什么？包含哪些具体类型？;结构事物是名词、静态部分，用于描述概念或物理元素，包括类、接口、协作、用例、主动类、构件、制品和节点。;1.4 计算机语言
UML中的“行为事物”主要描述什么？包含哪些具体类型？;行为事物是动词，描述了跨越时间和空间的行为，包括交互、状态机和活动。;1.4 计算机语言
UML中常用的“分组事物”是什么？;包（Package）是最常用的分组事物。;1.4 计算机语言
UML中的“注释事物”有什么作用？;注释即注解，用来描述、说明和标注模型的任何元素。;1.4 计算机语言
UML中包含哪四种关系？;UML中有依赖、关联、泛化和实现4种关系。;1.4 计算机语言
UML中的“依赖关系”体现了什么样的关系特征？;依赖关系是一种使用的关系，其中一个事物发生变化会影响另一个事物。;1.4 计算机语言
UML中的“聚合关系”与“组合关系”在生命周期上的核心区别是什么？;聚合关系中“部分”与“整体”生命周期可不相同；组合关系中“部分”随“整体”创建而创建，随其消亡而消亡，且“部分”只能属于一个“整体”。;1.4 计算机语言
UML中的“泛化关系”体现了什么逻辑关系？;泛化是一种特殊/一般关系，特殊元素（子元素）的对象可替代一般元素（父元素）的对象。;1.4 计算机语言
UML中的“实现关系”通常出现在哪两种情况之间？;一种是在接口和实现它们的类或构件之间；另一种是在用例和实现它们的协作之间。;1.4 计算机语言
UML 2.0提供了多少种图？其中被称为“交互图”的有哪几种？;UML 2.0提供14种图；序列图、通信图、交互概览图和计时图均被称为交互图。;1.4 计算机语言
UML中的“类图”主要展现什么内容？;类图展现了一组对象、接口、协作和它们之间的关系。;1.4 计算机语言
UML中的“用例图”主要展现什么内容？;用例图展现了一组用例、参与者（Actor）以及它们之间的关系。;1.4 计算机语言
UML用例图中，“包含关系（>）”的特点是什么？;当两个或多个用例中共用一组相同的动作时，将其抽离为独立子用例供多个基用例共享。;1.4 计算机语言
UML用例图中，“扩展关系（>）”的特点是什么？;扩展关系是对基用例的扩展，基用例即使没有子用例参与也能完成完整功能。;1.4 计算机语言
UML中包含哪五种视图？其中哪种视图居于中心地位？;UML包含用例视图、逻辑视图、进程视图、实现视图、部署视图5种视图，其中用例视图居于中心地位。;1.4 计算机语言
Z语言属于哪种形式化方法风格？它具有什么特点？;Z语言具有“状态—操作”风格，建立在集合论和数理逻辑基础上，是一个强类型系统，可以使用自然语言。;1.4 计算机语言
媒体在计算机领域的定义是什么？;媒体是承载信息的载体，即信息的表现形式（或者传播形式），如文字、声音、图像、动画和视频等。;1.5 多媒体技术
多媒体系统具有哪四个重要特征？;多维化（多样化）、集成性、交互性和实时性。;1.5 多媒体技术
多媒体系统的硬件主要由哪三部分组成？;主要包括计算机主要配置、外部设备以及与各种外部设备的控制接口。;1.5 多媒体技术
多媒体软件系统通常包含哪五类软件？;主要包括多媒体驱动软件、多媒体操作系统、多媒体数据处理软件、多媒体创作工具软件和多媒体应用软件。;1.5 多媒体技术
视频技术主要包含哪两个方面的内容？;视频技术包括视频数字化和视频编码技术两个方面。;1.5 多媒体技术
音频技术主要包含哪四个方面的内容？;音频技术包括音频数字化、语音处理、语音合成及语音识别4个方面。;1.5 多媒体技术
数据压缩技术主要分为哪几种类型？;包括即时压缩和非即时压缩、数据压缩和文件压缩、无损压缩与有损压缩等。;1.5 多媒体技术
虚拟现实（VR）技术的核心定义是什么？;是一种可以创建和体验虚拟世界的计算机仿真系统，采用计算机技术生成逼真的视觉、听觉、触觉、味觉及嗅觉的感知系统与用户交互。;1.5 多媒体技术
增强现实（AR）技术的核心原理是什么？;通过模拟仿真将原本在现实世界中很难体验到的实体信息叠加到现实世界中被人类感官所感知，从而达到超越现实的感官体验。;1.5 多媒体技术
VR/AR技术主要分为哪四种形态？;主要分为桌面式、分布式、沉浸式和增强式4种。;1.5 多媒体技术
