Front;Back;Tag
机器学习按学习方法不同分为哪两种？;传统机器学习（需手动完成）、深度学习（需大量训练数据集和强大GPU服务器提供算力）。;13.2 人工智能技术概述
列举机器学习常见算法中的三种。;迁移学习、主动学习、演化学习。;13.2 人工智能技术概述
机器人的定义中需要具备哪三要素？;具体脑、手、脚等三要素个体。;13.3 机器人技术概述
机器人需要具有哪两类传感器？;非接触传感器和接触传感器。;13.3 机器人技术概述
机器人需要具有哪两种觉的传感器？;平衡觉和固定觉的传感器。;13.3 机器人技术概述
机器人的发展历程分为哪三代？;第一代机器人（示教再现型机器人）→ 第二代机器人（感觉型机器人）→ 第三代机器人（智能型机器人）。;13.3 机器人技术概述
机器人4.0核心技术包括哪些？;云—边—端无缝协同计算、持续学习与协同学习、知识图谱、场景自适应和数据安全。;13.3 机器人技术概述
按控制方式分类，机器人分为哪五类？;操作机器人、程序机器人、示教再现机器人、智能机器人和综合机器人。;13.3 机器人技术概述
按应用行业分类，机器人分为哪三类？;工业机器人、服务机器人、特殊领域机器人。;13.3 机器人技术概述
什么是边缘计算？;将数据的处理、应用程序的运行以及一些功能服务的实现，由网络中心下放到网络边缘节点上。;13.4 边缘计算
边缘计算产业联盟对边缘计算的定义是什么？;云计算在数据中心之外汇聚节点的延伸和演进，包括云边缘、边缘云和云化网关三类落地形态；以“边云协同”和“边缘智能”为核心和发展方向。;13.4 边缘计算
OpenStack社区对边缘计算的定义是什么？;为应用开发者和服务提供商在网络边缘侧提供云服务和IT环境服务，目标是在靠近数据输入或用户的地方提供计算、存储和网络带宽。;13.4 边缘计算
ISO/IEC JTC1/SC38对边缘计算的定义是什么？;在靠近物或数据源头的网络边缘侧，融合网络、计算、存储、应用核心能力的开放平台，就近提供边缘智能服务。;13.4 边缘计算
边缘计算的四个特点是什么？;联接性、数据第一入口、约束性、分布性。;13.4 边缘计算
边缘计算的特点“联接性”具体指什么？;所联接物理对象的多样性及应用场景的多样性，需要边缘计算具备丰富的联接功能，如各种网络接口、网络协议等。;13.4 边缘计算
边缘计算的特点“数据第一入口”具体指什么？;边缘计算拥有大量、实时、完整的数据，可基于数据全生命周期进行管理与价值创造，更好地支撑预测性维护、资产效率与管理等创新应用。;13.4 边缘计算
边缘计算的特点“约束性”具体指什么？;边缘计算产品需适配工业现场相对恶劣的工作条件与运行环境，对功耗、成本、空间也有较高要求，需要通过软硬件集成与优化来适配。;13.4 边缘计算
边缘计算的特点“分布性”具体指什么？;边缘计算实际部署天然具备分布式特征，要求支持分布式计算与存储、实现分布式资源动态调度与统一管理、支撑分布式智能、具备分布式安全等能力。;13.4 边缘计算
边云协同包括哪六个方面？;资源协同、数据协同、智能协同、应用管理协同、业务管理协同、服务协同。;13.4 边缘计算
边云协同中“资源协同”指什么？;边缘节点提供计算、存储、网络、虚拟化等基础设施资源，具有本地资源调度管理能力，同时可与云端协同，接受并执行云端资源调度管理策略。;13.4 边缘计算
边云协同中“数据协同”指什么？;边缘节点负责现场/终端数据的采集与初步处理，将结果上传云端；云端提供海量数据的存储、分析与价值挖掘。支持数据在边缘与云之间可控有序流动。;13.4 边缘计算
边云协同中“智能协同”指什么？;边缘节点执行推理，实现分布式智能；云端开展模型训练，并将模型下发边缘节点。;13.4 边缘计算
边云协同中“应用管理协同”指什么？;边缘节点提供应用部署与运行环境，对应用生命周期进行管理调度；云端提供应用开发、测试环境以及应用生命周期管理能力。;13.4 边缘计算
边云协同中“业务管理协同”指什么？;边缘节点提供模块化、微服务化的应用/数字孪生/网络等实例；云端提供按照客户需求进行业务编排的能力。;13.4 边缘计算
边云协同中“服务协同”指什么？;边缘节点按云端策略实现部分ECSaaS服务，与云端SaaS协同提供按需SaaS服务；云端提供服务分布策略及承担的SaaS服务能力。;13.4 边缘计算
边缘计算安全的价值体现在哪三个方面？;提供可信的基础设施、为边缘应用提供可信赖的安全服务、提供安全可信的网络和覆盖。;13.4 边缘计算
边缘计算的应用场合包括哪些？（至少列出4个）;智慧园区、安卓云与云游戏、视频监控、工业物联网、Cloud VR。;13.4 边缘计算
什么是数字孪生体？;现有或将有的物理实体对象的数字模型，通过实测、仿真和数据分析来实时感知、诊断、预测物理实体对象的状态，通过优化和指令来调控物理实体对象的行为，通过相关数字模型间的相互学习来进化自身，同时改进利益相关方在物理实体对象生命周期内的决策。;13.5 数字孪生体技术概述
数字孪生体的核心技术是什么？;建模、仿真和基于数据融合的数字线程。;13.5 数字孪生体技术概述
数字孪生体主要应用于哪些领域？;制造、产业、城市和战场。;13.5 数字孪生体技术概述
“云计算”这个术语包含哪两个层面的含义？;同时描述一个系统平台或一类应用程序，包含平台和应用。;13.6 云计算和大数据技术概述
云计算的三种服务方式分别是什么？;软件即服务（SaaS）、平台即服务（PaaS）、基础设施即服务（IaaS）。;13.6 云计算和大数据技术概述
SaaS（软件即服务）的含义是什么？;服务提供商将应用软件统一部署在云计算服务器上。;13.6 云计算和大数据技术概述
PaaS（平台即服务）的含义是什么？;服务提供商将分布式开发环境与平台作为一种服务来提供。;13.6 云计算和大数据技术概述
IaaS（基础设施即服务）的含义是什么？;服务提供商将多台服务器组成“云端”基础设施作为计量服务提供给客户。;13.6 云计算和大数据技术概述
云计算的四种部署模式是什么？;公有云、社区云、私有云、混合云。;13.6 云计算和大数据技术概述
大数据分析的五个步骤是什么？;数据获取/记录 → 信息抽取/清洗/注记 → 数据集成/聚集/表现 → 数据分析/建模 → 数据解释。;13.6 云计算和大数据技术概述
大数据应用的主要领域有哪些？;制造业、服务业、交通行业、医疗行业。;13.6 云计算和大数据技术概述
