Front;Back;Tag
在演化过程已知的软件架构演化评估中，评估流程是什么？;将架构度量应用到演化过程中，通过对演化前后不同版本的架构分别进行度量，得到度量结果的差值及其变化趋势，并计算架构间质量属性距离，进而对相关质量属性进行评估。;12.5 软件架构演化评估方法
在演化过程未知的软件架构演化评估中，评估过程包含哪些要素？（根据图12.3）;演化前架构、架构度量、度量结果、比较、推测是否符合架构演化驱动因素、分析架构演化操作集合、演化后架构、架构质量属性变化。;12.5 软件架构演化评估方法
大型网站系统架构演化第一阶段是什么？其特点是什么？;单体架构。应用程序、数据库、文件等所有资源都在一台服务器上。;12.6 大型网站系统架构演化实例
大型网站系统架构演化第二阶段是什么？使用了多少台服务器？;垂直架构。将应用和数据分离，整个网站使用3台服务器：应用服务器、文件服务器、数据服务器。;12.6 大型网站系统架构演化实例
大型网站系统架构演化第三阶段是什么？包括哪两种缓存？;使用缓存改善网站性能。包括在应用服务器上的本地缓存和在专门的分布式缓存服务器上的远程缓存。;12.6 大型网站系统架构演化实例
大型网站系统架构演化第四阶段是什么？其目的和关键设备是什么？;使用服务集群改善网站并发处理能力。通过负载均衡调度服务器，将用户请求分发到应用服务器集群中的任何一台服务器，解决高并发、海量数据问题。;12.6 大型网站系统架构演化实例
大型网站系统架构演化第五阶段是什么？主从复制机制的作用是什么？;数据库读写分离。应用服务器写数据时访问主数据库，主服务器通过主从复制机制将数据更新同步到从服务器；读数据时访问从数据库。;12.6 大型网站系统架构演化实例
大型网站系统架构演化第六阶段是什么？CDN和反向代理的共同基本原理是什么？;使用反向代理和CDN加速网站响应。共同基本原理都是缓存。;12.6 大型网站系统架构演化实例
CDN和反向代理分别部署在哪里？;CDN部署在网络提供商的机房；反向代理部署在网站的中心机房。;12.6 大型网站系统架构演化实例
大型网站系统架构演化第七阶段是什么？如何进行数据管理？;使用分布式文件系统和分布式数据库系统。进行业务分库，将不同业务的数据部署在不同的物理服务器上。;12.6 大型网站系统架构演化实例
大型网站系统架构演化的第八、第九、第十阶段分别是什么？;第八阶段：使用NoSQL和搜索引擎；第九阶段：业务拆分（将一个网站拆分成许多不同应用，独立部署）；第十阶段：分布式服务。;12.6 大型网站系统架构演化实例
软件架构维护过程包括哪三个方面？;软件架构知识管理、软件架构修改管理、软件架构版本管理。;12.7 软件架构维护
架构知识的定义是什么？;架构知识 = 架构设计 + 架构设计决策。;12.7 软件架构维护
软件架构知识管理的含义是什么？;侧重于软件开发和实现过程所涉及的架构静态演化，在架构文档等信息来源中捕捉架构知识，提供架构的质量属性及其设计依据进行记录和评价。;12.7 软件架构维护
软件架构知识管理的需求是什么？;防止关键的设计知识“沉没”在软件架构中。;12.7 软件架构维护
软件架构修改管理的主要做法是什么？;主要是建立一个隔离区域，保障该区域中任何修改对其他部分影响最小。;12.7 软件架构维护
软件架构版本管理的作用是什么？;为软件架构演化的版本演化控制、使用和评价提供可靠依据。;12.7 软件架构维护
软件架构可维护性度量的六个指标是什么？;圈复杂度（CNN）、扇入扇出度（FFC）、模块间耦合度（CBO）、模块的响应（RFC）、紧内聚度（TCC）、松内聚度（LCC）。;12.7 软件架构维护
