Front;Back;Tag
微服务模式的核心思想是什么？;将后端单体应用拆分为松耦合的多个子应用（微服务），每个子应用负责一组子功能，多个微服务共同形成物理独立但逻辑完整的分布式微服务体系。;17.2 云原生架构相关技术
微服务设计的个体约束是什么？;微服务应用的功能在业务领域划分上应是相互独立的。;17.2 云原生架构相关技术
微服务与微服务之间的横向关系包括哪两个方面？;可发现性和可交互性。;17.2 云原生架构相关技术
微服务间的可发现性指什么？;当服务A发布和扩/缩容时，依赖服务A的服务B在不重新发布的前提下，能够自动感知到服务A的变化。;17.2 云原生架构相关技术
微服务与数据层之间的纵向约束遵循什么原则？其内容是什么？;数据存储隔离（DSS）原则，对数据的访问都必须通过相对应的微服务提供的API来访问。;17.2 云原生架构相关技术
无服务器技术的四个特点是什么？;1.全托管的计算服务；2.通用性（结合云BaaS API支撑各类应用）；3.自动弹性伸缩；4.按量计费。;17.2 云原生架构相关技术
无服务器技术的关注点包括哪些？;计算资源弹性调度（容错、资源利用率、性能、数据驱动）、负载均衡和流控、安全性。;17.2 云原生架构相关技术
服务网格（Service Mesh）的目的是什么？;将微服务间的连接、安全、流量控制和可观测等通用功能下沉为平台基础设施，实现应用与平台基础设施的解耦。;17.2 云原生架构相关技术
服务网格的典型架构中，服务代理和服务A调用服务B的流程是怎样的？;服务A调用服务B的所有请求都被其下的服务代理截获，代理完成服务发现、熔断、限流等策略，这些策略总控在控制平面上配置。;17.2 云原生架构相关技术
列举三种主要的服务网格技术。;Istio、Linkerd、Consul。;17.2 云原生架构相关技术
