Front;Back;Tag
文件传输协议（FTP）运行在哪种传输层协议之上？它使用哪两个端口？;运行在 TCP 之上。使用 21 号端口传送控制信息，使用 20 号端口传送文件内容。;3.4 组网技术 - 应用层协议
简单文件传输协议（TFTP）与 FTP 相比有什么特点？;建立在 UDP 之上（69号端口）；提供不可靠的数据流传输服务；不提供存取授权与认证；开销小，使用超时重传保证数据到达。;3.4 组网技术 - 应用层协议
HTTPS 协议是如何保证传输安全的？它使用的端口号是多少？;在 HTTP 基础上加入 SSL 或 TLS 层进行传输加密和身份认证。使用的端口号是 443。;3.4 组网技术 - 应用层协议
动态主机配置协议（DHCP）的主要作用是什么？;集中管理、分配 IP 地址，使主机动态获得 IP 地址、网关、DNS 等信息，提升地址使用率。;3.4 组网技术 - 应用层协议
当网络中有多个 DHCP 服务器时，客户端如何选择？;客户端只根据第一个收到的 OFFER 报文，返回 REQUEST 报文。;3.4 组网技术 - 应用层协议
DNS 系统中的 A 记录和 PTR 记录分别负责什么？;A 记录（主机记录）负责将域名解析为 IP 地址；PTR 记录负责将 IP 地址映射到域名（反向解析）。;3.4 组网技术 - 应用层协议
DNS 查询过程中的“迭代查询”和“递归查询”有什么区别？;迭代查询：服务器返回引用，客户端需访问被引用的服务器继续查询；递归查询：要求服务器彻底解析名字并返回最终结果。;3.4 组网技术 - 应用层协议
传输控制协议（TCP）的主要特点是什么？适用于什么场合？;可靠、面向连接。具有差错校验、重传、流量控制和拥塞控制功能。适用于数据量少且对可靠性要求高的场合。;3.4 组网技术 - 传输层协议
用户数据报协议（UDP）的主要特点是什么？适用于什么场合？;不可靠、无连接。适用于数据量大、对可靠性要求不高但要求速度快的场合。;3.4 组网技术 - 传输层协议
IPv6 数据报的目的地址主要有哪三种类型？;单播、多播/组播、任播。;3.4 组网技术 - 网络层协议
IPv4 向 IPv6 过渡的主要技术有哪些？;双协议栈技术、隧道技术、NAT-PT 技术。;3.4 组网技术 - 网络层协议
交换机的主要功能包括哪些？;集线功能、中继功能、桥接功能、隔离冲突域功能。;3.4 组网技术 - 交换机
生成树协议（STP）在交换机网络中的主要作用是什么？;解决链路环路问题。;3.4 组网技术 - 交换机
链路聚合协议的主要作用是什么？;提升与邻接交换设备之间的端口带宽，并提高链路可靠性。;3.4 组网技术 - 交换机
路由器的主要功能包括哪些？;异种网络互连、子网协议转换、数据路由、速率适配、隔离网络、报文分片和重组、备份和流量控制。;3.4 组网技术 - 路由器
内部网关协议（IGP）和外部网关协议（EGP）的区别是什么？;IGP 是在一个自治系统（AS）内运行的路由协议；EGP 是在 AS 之间运行的路由协议。;3.4 组网技术 - 路由器
边界网关协议（BGP）在 Internet 中的地位是什么？;BGP 是基于 EGP 经验制定的新协议，是目前 Internet 上唯一的网关协议（用于 AS 之间）。;3.4 组网技术 - 路由器
网络建设工程分为哪三个主要环节？;网络规划、网络设计、网络实施。;3.5 网络工程
网络规划的核心导向是什么？;以需求为导向，兼顾技术和工程可行性。;3.5 网络工程
网络设计中的“逻辑设计”主要包含哪些内容？;网络结构设计、网络技术选型、IP地址和路由设计、网络冗余设计以及网络安全设计等。;3.5 网络工程
网络设计中的“物理设计”主要包含哪些内容？;布线设计、机房设计、设备选型等。;3.5 网络工程
网络冗余设计的主要目的是什么？;避免网络组件单点失效造成应用失效。;3.5 网络工程
在网络冗余设计中，“备用路径”和“负载分担”的作用分别是什么？;备用路径：在主路径失效时启用，平时不承担负载（或承担较少）；负载分担：通过并行链路提供流量分担来提高性能。;3.5 网络工程
网络实施阶段主要包含哪些工作？;工程实施计划、网络设备验收、设备安装和调试、系统试运行和切换、用户培训等。;3.5 网络工程
网络分层设计通常分为哪三层？;接入层、汇聚层、核心层。;3.5 网络工程
接入层的主要功能是什么？;面向用户连接，解决相邻用户互访，提供带宽；负责用户管理（认证、计费）和信息收集（IP/MAC地址、日志）。;3.5 网络工程
汇聚层的主要功能是什么？;作为核心层和接入层的分界面；完成网络访问策略控制、数据包处理、过滤、寻址及其他数据处理任务。;3.5 网络工程
核心层的主要目的和特点是什么？;通过高速转发通信提供可靠的骨干传输结构；要求高可靠性、高性能和高吞吐量。;3.5 网络工程
针对核心层设备，通常采取什么措施来提高可靠性？;采用双机冗余热备份，或使用负载均衡功能。;3.5 网络工程
