Front;Back;Tag
多层B/S结构的组成形式是什么？;Web浏览器 + Web服务器 + 中间件/应用层 + 数据库。;15.3 信息系统常用架构模型
在J2EE架构中，MVC模式的形式是什么？;Web浏览器（View）+ Web服务器（Controller，可加中间件/应用层）+ 数据库。模型层可根据情况与MV一起置于Web服务器或单独置于应用层。;15.3 信息系统常用架构模型
SOA中“服务”的概念是什么？;能提供一组整体功能的独立应用系统，去掉任何一层服务都不能正常工作。;15.3 信息系统常用架构模型
实现SOA最典型、最流行的模式是什么？;Web Service，即两个互联网应用之间互相开放功能模块、函数、过程等“服务”，通过消息机制或RPC调用对方服务。;15.3 信息系统常用架构模型
面向服务架构的主要实践有哪些？;异构系统集成、同构系统聚合、联邦架构。;15.3 信息系统常用架构模型
企业服务总线（ESB）/企业数据总线（EDB）具有哪些特征？;1.连接软件系统，提供服务代理功能和服务注册表；2.按照协议消息头进行数据、请求、回复的接收和分发；3.可基于消息中间件、事务中间件、CORBA/IIOP协议开发构建。;15.3 信息系统常用架构模型
企业信息系统架构（ISA）是多维度、分层次、高度集成化的模型，需要考虑企业中哪四个方面？;战略系统、业务系统、应用系统和企业信息基础设施。;15.4 企业信息系统总体框架
战略系统由什么组成？作用是什么？;由企业战略规划体系、以计算机为基础的高层决策支持系统组成。作用是信息系统对企业高层管理者决策支持的能力，以及企业战略规划对信息系统建设的影响和要求。;15.4 企业信息系统总体框架
业务系统的定义是什么？业务过程由哪些要素组成？;业务系统是指企业中完成一定业务功能的各个部分组成的系统。业务过程由一系列相互依赖的业务活动、业务活动先后次序、业务活动执行角色、业务活动处理相关数据组成。;15.4 企业信息系统总体框架
业务系统的作用有哪些？（列出5点）;1.对企业现有业务系统、过程、活动建模；2.在企业战略指导下，采用业务过程重组优化业务过程；3.对企业优化业务系统、过程、活动建模；4.确定相对稳定数据；5.以稳定数据为基础，进行应用系统开发和信息基础设施建设。;15.4 企业信息系统总体框架
应用系统包括哪两个部分？哪个部分变化较多？;包括内部功能和外部界面。界面部分变化较多，主要由用户对界面形式要求的变化引起。;15.4 企业信息系统总体框架
什么是企业信息基础设施（EII）？;根据企业当前业务和可预见的发展趋势，及对信息采集、处理、存储和流通的要求，构筑由信息设备、通信网络、数据库、系统软件和支持性软件等组成的环境。;15.4 企业信息系统总体框架
TOGAF的四个目标是什么？;1.节省时间和成本，更有效、合理地利用资源；2.实现可观的投资回报率；3.确保所有用户使用相同的语言；4.避免被“锁定”到企业架构的专有解决方案。;15.5 信息系统架构设计方法
TOGAF的核心思想是什么？;模块化架构，为架构产品提供内容框架，为大型组织开发提供扩展指南，适用于不同架构风格。;15.5 信息系统架构设计方法
TOGAF的组件包括哪些？;架构开发方法、架构开发方法指南和技术、架构内容框架、企业连续序列和工具、架构框架参考模型、架构能力框架。;15.5 信息系统架构设计方法
架构开发方法（ADM）由哪些阶段组成（按顺序）？;预备、需求管理、架构愿景、业务架构、信息系统架构、技术架构、机会和解决方案、迁移规划、实施治理、架构变更管理。;15.5 信息系统架构设计方法
信息化的四个方面的内容是什么？;信息网络体系、信息产业基础、社会运行环境、效用积累过程。;15.5 信息系统架构设计方法
信息化的六个要素是什么？;开发利用信息资源、建设国家信息网络、推进信息技术应用、发展信息技术和产业、培育信息化人才、制定和完善信息化政策。;15.5 信息系统架构设计方法
信息化包括的七个平台是什么？;知识管理平台、日常办公平台、信息集成平台、信息发布平台、协同工作平台、公文流转平台、企业通信平台。;15.5 信息系统架构设计方法
信息化的九个特征是什么？;易用性、健壮性、平台化、灵活性、扩展性、安全性、门户化、整合性、移动性。;15.5 信息系统架构设计方法
信息化架构的两种模式是什么？;数据导向架构（关注数据模型和数据质量）、流程导向架构（关注端到端流程整合及对流程变化的适应度）。;15.5 信息系统架构设计方法
信息化建设生命周期的五个阶段是什么？;系统规划、系统分析、系统设计、系统实施、系统运行和维护。;15.5 信息系统架构设计方法
关键成功因素法（CSF）的定义是什么？;通过分析找出使企业成功的关键因素，再围绕这些关键因素确定系统需求并进行规划。;15.5 信息系统架构设计方法
战略目标集转化法（SST）的特点是什么？;反映各种人的要求，按这种要求分层，转化为信息系统目标的结构化方法。;15.5 信息系统架构设计方法
企业系统规划法（BSP）的核心思想是什么？;自上而下地识别系统目标、企业过程和数据，然后对数据进行分析，自下而上地设计信息系统。;15.5 信息系统架构设计方法
