分布式拒绝服务攻击（DDoS）工具通常采用哪三级结构？;客户端（Client）、主控端（Handler）、代理端（Agent）。;5.6 抗攻击技术 - DDoS
DoS 攻击的防御方法主要有哪些？;特征识别、防火墙、通信数据量的统计、修正问题和漏洞。;5.6 抗攻击技术 - DoS
ARP 欺骗和 DNS 欺骗分别针对什么机制进行攻击？;ARP 欺骗针对 IP 地址解析为 MAC 地址；DNS 欺骗针对域名解析为 IP 地址。;5.6 抗攻击技术 - 欺骗攻击
ARP 欺骗的常用防范办法有哪些？;固化 ARP 表、使用 ARP 服务器、双向绑定、安装防护软件。;5.6 抗攻击技术 - ARP 欺骗
DNS 欺骗的检测方法有哪些？;被动监听检测、虚假报文探测、交叉检查查询。;5.6 抗攻击技术 - DNS 欺骗
IP 欺骗的原理是什么？如何防范？;原理：修改 IP 数据报报头，伪装成另一个 IP 以获取信任；防范：使用防火墙等。;5.6 抗攻击技术 - IP 欺骗
端口扫描中，全 TCP 连接、SYN 扫描、FIN 扫描的区别是什么？;全 TCP：建立完整连接；SYN：半打开式扫描；FIN：发送 FIN 包扫描。;5.6 抗攻击技术 - 端口扫描
同步包风暴（SYN Flooding）攻击的是 TCP 协议的哪个过程？;攻击 TCP 建立连接的三次握手，耗尽目标主机资源。;5.6 抗攻击技术 - TCP/IP 攻击
“Ping of Death”属于哪种攻击？如何防范？;属于 ICMP 攻击（攻击网络层缓冲区）；防范：打补丁、升级操作系统。;5.6 抗攻击技术 - TCP/IP 攻击
SNMP 攻击主要针对什么设备？早期 SNMP V1 的主要漏洞是什么？;针对网络设备管理；缺少认证，易被入侵。防范：升级到 V2 以上并设密码。;5.6 抗攻击技术 - TCP/IP 攻击
基于网络的漏洞扫描与基于主机的漏洞扫描相比，后者有什么优点？;能扫描更多漏洞、集中化管理、网络流量负载小（因为安装了 Agent）。;5.6 抗攻击技术 - 漏洞扫描
Front;Back;Tag
GB 17859-1999 规定的 5 个安全保护等级分别是什么？;1级用户自主保护级、2级系统审计保护级、3级安全标记保护级、4级结构化保护级、5级访问验证保护级。;5.7 信息安全保障体系 - 等级保护
GB 17859 的 5 个等级分别对应 TCSEC 的哪 5 个级别？;1级-C1、2级-C2、3级-B1、4级-B2、5级-B3。;5.7 信息安全保障体系 - 等级保护
数据泄露防护（DLP）的主要作用是什么？;防止企业的指定数据或信息资产以违反安全策略规定的形式流出企业。;5.7 信息安全保障体系 - 安全保密技术
数字水印（Digital Watermark）是如何实现的？;通过数字信号处理方法，在数字化的媒体文件中嵌入特定的标记（可感知或不易感知）。;5.7 信息安全保障体系 - 安全保密技术
SSL 协议位于哪两层之间？提供哪 3 种安全服务？;位于应用层和 TCP 层之间；提供保密性通信、点对点身份认证、可靠性通信。;5.7 信息安全保障体系 - 安全协议
PGP（Pretty Good Privacy）主要应用于什么场景？采用了哪些技术？;主要用于电子邮件安全；采用了 RSA、IDEA、完整性检测和数字签名算法。;5.7 信息安全保障体系 - 安全协议
IPSec 协议工作在哪一层？其主要优点是什么？;工作在网络层；优点是透明性，提供安全服务不需要更改应用程序。;5.7 信息安全保障体系 - 安全协议
SET 协议主要解决什么问题？;解决信用卡支付交易问题，保证支付信息的机密、过程完整、身份合法及可操作性。;5.7 信息安全保障体系 - 安全协议
信息系统的安全风险是指什么？;由于系统存在的脆弱性所导致的安全事件发生的概率和可能造成的影响。;5.7 信息安全保障体系 - 风险评估
风险评估的 5 个基本要素是什么？;脆弱性、资产、威胁、风险、安全措施。;5.7 信息安全保障体系 - 风险评估
在风险评估中，“威胁”和“脆弱性”分别指什么？;威胁：对资产构成潜在破坏的可能性因素或事件；脆弱性：资产本身存在的弱点或未正确实施的安全保护环节。;5.7 信息安全保障体系 - 风险评估
