数据挖掘所得到的信息应具有哪三个特征？;先知的（预先未曾预料到的）、有效的、实用的。;8.3 数据库设计 - 数据挖掘
在应用程序与数据库交互中，库函数级别接口（如 OCI）的主要缺点是什么？;强依赖于特定的数据库；需要开发人员对数据库机制有较深理解；学习难度大；开发效率不高。;8.4 应用程序与数据库的交互
什么是嵌入式 SQL（Embedded SQL）？;将 SQL 语句直接写入某些高级程序语言源代码中的一种方法。;8.4 应用程序与数据库的交互
开放数据库连接（ODBC）的主要优点是什么？;不依赖于任何 DBMS，能以统一的方式处理所有的关系数据库（解决异构数据库数据共享）。;8.4 应用程序与数据库的交互
列举常见的通用数据库接口标准。;ODBC、DAO、RDO、ADO、JDBC。;8.4 应用程序与数据库的交互
对象关系映射（ORM）的主要作用是什么？;实现面向对象编程语言里不同类型系统数据之间的转换。;8.4 应用程序与数据库的交互
Hibernate、Mybatis 和 JPA 在自动化程度上的区别是什么？;Hibernate：全自动；Mybatis：半自动；JPA：Java 自带的框架。;8.4 应用程序与数据库的交互
NoSQL 数据库与关系型数据库相比，不保证什么特性？;不保证关系数据的 ACID 特性。;8.5 NoSQL 数据库 - 分类与特点
列式存储数据库的特点是什么？适用场景如何？;特点：键指向多个列；适用：应对分布式存储的海量数据。;8.5 NoSQL 数据库 - 分类与特点
键值对存储数据库（如 Redis）的优缺点分别是什么？;优点：简单、易部署；缺点：只对部分值查询或更新时效率低下。;8.5 NoSQL 数据库 - 分类与特点
文档型数据库（如 MongoDB）相比键值对数据库的优势是什么？;在处理网页等复杂数据时，查询效率更高。;8.5 NoSQL 数据库 - 分类与特点
图数据库（如 Neo4J）最适合存储什么类型的数据？;适合存储通过图进行建模的数据（如社交网络、生物信息网络、交通网络）。;8.5 NoSQL 数据库 - 分类与特点
NoSQL 数据库的 5 个主要特征是什么？;易扩展、大数据量、高性能、灵活的数据模型、高可用。;8.5 NoSQL 数据库 - 分类与特点
NoSQL 数据库适用哪四种情况？;1. 数据模型比较简单；2. 需灵活性更强的 IT 系统；3. 对数据库性能要求较高；4. 不需要高度的数据一致性。;8.5 NoSQL 数据库 - 体系框架
NoSQL 整体框架从下至上分为哪四层？;数据持久层、数据分布层、数据逻辑模型层、接口层。;8.5 NoSQL 数据库 - 体系框架
分布式数据库体系结构中，定义数据片段存放节点的模式是什么？;分配模式。;8.6 分布式数据库 - 体系结构
分布式数据库体系结构中，将关系模式分解为数据片的模式是什么？;分片模式。;8.6 分布式数据库 - 体系结构
分布式数据库的“自治性”是指什么？;每个节点对本地数据都能独立管理。;8.6 分布式数据库 - 特点
分布透明性的最高层次是什么？其含义是什么？;分片透明性；用户或应用程序只对全局关系进行操作，不必考虑数据的分片。;8.6 分布式数据库 - 分布透明性
位置透明性要求用户了解什么，不需要了解什么？;应当了解分片情况，但不必了解片段的存储场地。;8.6 分布式数据库 - 分布透明性
局部数据模型透明性（逻辑透明）要求用户了解什么，不需要了解什么？;应当了解分片及各片段存储的场地，但不必了解局部场地上使用的是何种数据模型。;8.6 分布式数据库 - 分布透明性
集中式数据库优化中，“反规范化设计”的主要目的是什么？;避免进行表之间的连接操作，从而提高数据操作的性能。;8.7 数据库优化技术 - 集中式优化
反规范化设计的主要缺点是什么？;造成数据重复存储（浪费空间）、产生数据不一致性。;8.7 数据库优化技术 - 集中式优化
在反规范化设计中，“增加派生列”的作用是什么？;在查询时减少计算量，从而加快查询速度（列可通过其他数据计算生成）。;8.7 数据库优化技术 - 集中式优化
在反规范化设计中，“水平分割表”通常用于什么场景？;表数据规模很大、数据相对独立或需存放到多个介质上（按记录进行分割）。;8.7 数据库优化技术 - 集中式优化
在反规范化设计中，“垂直分割表”的主要优势是什么？;在查询时减少 I/O 次数（将主键与部分列放一起，主键与其他列放另一表）。;8.7 数据库优化技术 - 集中式优化
分布式数据库优化中，“主从复制”的主要好处有哪些？;1. 做数据热备（故障切换）；2. 架构扩展（降低单机 I/O 频率）；3. 支持读写分离。;8.7 数据库优化技术 - 分布式优化
MySQL 主从复制中，“基于 SQL 语句的复制”模式的缺点是什么？;如果 SQL 含有绑定本地变量的函数（如 time），可能造成主从数据不一致。;8.7 数据库优化技术 - 分布式优化
MySQL 主从复制中，“基于行的复制”模式的优点是什么？;可以保证主从之间的数据绝对相同（记录更新前后的具体数据）。;8.7 数据库优化技术 - 分布式优化
MySQL 主从复制中，“混合复制”模式是如何工作的？;对于可能造成主从不一致的 SQL 自动选用基于行的复制，其他选用基于 SQL 语句的复制。;8.7 数据库优化技术 - 分布式优化
在分布式数据库优化中，“读写分离”通常如何分配任务？;主数据库负责写操作，从数据库负责读操作。;8.7 数据库优化技术 - 分布式优化
数据库“垂直切分”（分表）的具体做法是什么？;把一个大表切分为多个表，不同表包含不同的列（如热数据与冷数据分离）。;8.7 数据库优化技术 - 分表与分库
数据库“水平切分”（分表）的具体做法是什么？;把一个大表切分为多个表，每个表包含相同的列，但包含不同的行（如按 ID 范围分割）。;8.7 数据库优化技术 - 分表与分库
“分库”与“分表”的主要区别是什么？;分库是将不同业务模块的数据（表）存放到不同的数据库实例上，有利于差异化管理。;8.7 数据库优化技术 - 分表与分库
Redis 用作缓存时，主要基于什么特性来提高读性能？;基于内存的读写特性（比基于磁盘读写的数据库性能高很多）。;8.8 Redis - 基本概念
Redis 中 string 类型常用于什么场景？;缓存层或计数器（如视频播放量、文章浏览量）。;8.8 Redis - 数据类型
Redis 中 hash 类型的主要优势是什么？;代替 string 类型，节省空间；描述用户信息较为方便。;8.8 Redis - 数据类型
Redis 中 set 类型的特点及用途是什么？;特点：无序集合，值不能重复；用途：去重、抽奖、初始化用户池。;8.8 Redis - 数据类型
Redis 中 list 类型的数据结构及应用场景？;双向链表结构；可模拟栈、队列，用于回复评论、点赞等。;8.8 Redis - 数据类型
Redis 中 zset 类型的特点及应用场景？;特点：有序集合，每个元素有一个分数；用途：首页推荐最热门的帖子等。;8.8 Redis - 数据类型
Redis 读取数据的标准流程是什么？;1. 根据 key 读缓存；2. 命中则直接返回；3. 未命中则读数据库；4. 写入缓存；5. 返回。;8.8 Redis - 访问方式
Redis 写入数据的标准流程是什么？;1. 根据 key 写数据库；2. 成功后更新缓存 key 值；3. 返回。;8.8 Redis - 访问方式
Redis 的“定期删除”策略是如何工作的？;每隔一段时间随机抽取一些设置了过期时间的 key 进行删除（不会遍历所有 key）。;8.8 Redis - 过期策略
Redis 的“惰性删除”策略是如何工作的？;查询 key 时进行检测，若已过期则删除。;8.8 Redis - 过期策略
Redis 中 volatile-lru 淘汰策略的含义是什么？;从**已设置过期时间**的 key 中，移出最近最少使用的 key。;8.8 Redis - 过期策略
Redis 中 allkeys-lru 淘汰策略的含义是什么？;从**所有 key** 中选择最近最少使用的进行淘汰。;8.8 Redis - 过期策略
Redis 中 volatile-ttl 淘汰策略的含义是什么？;从已设置过期时间的 key 中，移出将要过期的 key。;8.8 Redis - 过期策略
Redis 数据持久化的两种主要方式是什么？;RDB（快照）和 AOF（追加日志）。;8.8 Redis - 数据持久化
RDB 持久化的主要特点是什么？;在指定的时间间隔内将内存中的数据集快照写入磁盘；恢复速度快，但可能丢失最后一次快照后的数据。;8.8 Redis - 数据持久化
AOF 持久化的主要特点是什么？;记录每次写操作命令；数据安全性高，但文件体积大，恢复速度慢。;8.8 Redis - 数据持久化
什么是缓存穿透？其解决方案有哪些？;定义：大量请求访问 Redis 中不存在的 key，导致请求直接访问数据库。解决方案：1. 限制 IP 访问次数/拉黑；2. 参数校验；3. 使用布隆过滤器；4. 对不存在的 key 缓存 null 值。;8.8 Redis - 缓存异常
什么是缓存雪崩？其解决方案有哪些？;定义：大量 key 同时过期或 Redis 故障，导致请求直接访问数据库。解决方案：1. 过期时间加随机值；2. 使用主从/集群提高可用性；3. 限流、降级、熔断。;8.8 Redis - 缓存异常
什么是缓存击穿？其解决方案有哪些？;定义：热点 key 失效，导致大量并发请求直接访问数据库。解决方案：1. 热点 key 设置永不过期或长过期时间；2. 使用分布式锁（只允许一个请求重建缓存）。;8.8 Redis - 缓存异常
Redis 集群部署的三种主要方式是什么？;主从复制集群、哨兵集群、Cluster 集群。;8.8 Redis - 集群
Redis 集群切片的三种方式是什么？;客户端分片、代理分片、服务器端分片。;8.8 Redis - 集群
